vOTU	TAX	Realm	Phylum	Class	Order	Family	Genus	
vOTU_1	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10003	Viruses	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
vOTU_10026	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10041	Viruses	Duplodnaviria	Heunggongvirae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
vOTU_10072	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10099	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_101	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10129	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10151	Viruses	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
vOTU_10162	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10191	Viruses	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
vOTU_10223	Viruses	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
vOTU_10241	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10243	Viruses	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
vOTU_10246	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Unclassified	Unclassified
vOTU_10277	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Unclassified
