vOTU	A12_reads_A12.fa	E1_reads_E1.fa	N10_reads_N10.fa	N13_reads_N13.fa	N28_reads_N28.fa	N30_reads_N30.fa	N47_reads_N47.fa	Z01_reads_Z01.fa
vOTU_1	281312	6	0	0	2	0	0	18
vOTU_2	18	0	0	0	0	2	0	216946
vOTU_4	20	0	0	0	0	66866	0	2
vOTU_5	2	2	0	0	0	44142	70	0
vOTU_7	38672	0	0	0	0	2	138	6
vOTU_8	4	0	0	4	0	37894	74	0
vOTU_11	48	2543508	252	12	18	50	86	66
vOTU_16	70580	2	0	0	0	0	0	6
vOTU_17	4	0	0	0	0	0	2	36982
vOTU_21	32954	2	0	0	0	0	2	4
vOTU_23	0	0	0	0	0	49488	0	0
vOTU_25	0	0	26880	0	0	0	0	0
vOTU_27	8	0	0	0	0	25714	0	0
vOTU_29	197366	0	4	0	0	0	2	20
vOTU_33	0	2	4	0	0	28996	510	0
vOTU_37	38	0	0	0	0	4	0	252124
vOTU_38	0	48758	36	0	0	844	486	2
vOTU_42	2	0	0	24772	0	2	2	0
vOTU_43	0	0	0	0	30908	0	0	2
vOTU_44	16830	0	0	0	0	0	70	0
vOTU_45	0	0	0	0	0	43428	0	0
vOTU_46	0	2	2	0	0	27818	2	0
vOTU_48	0	2	2	0	0	77486	0	2
vOTU_50	0	4	0	4	349252	2	2	6
vOTU_51	0	2	0	0	0	41112	0	0
vOTU_52	0	0	2	0	0	42774	0	0
vOTU_53	204	7313984	2224	124	52	114	190	414
vOTU_57	34	16	8	430166	6	8	14	2
vOTU_58	0	0	0	0	0	52618	0	0
vOTU_62	0	0	44	0	0	18374	0	0
vOTU_68	62852	0	0	0	0	0	2	12
vOTU_69	0	0	0	20828	0	0	0	0
vOTU_72	0	0	0	2	25746	0	0	0
vOTU_77	10	0	0	0	0	4	0	55102
vOTU_85	8	0	0	0	0	0	0	24244
vOTU_87	14	1705774	92	12	8	12	30	42
vOTU_89	0	0	0	0	0	29374	0	0
vOTU_90	14	4	2	299022	0	2	4	2
vOTU_94	46	0	0	0	43528	36	0	0
vOTU_96	0	50410	4	0	0	22	40	12
vOTU_101	10	0	2	2	0	23840	64	0
vOTU_111	14276	0	0	0	0	0	0	4
vOTU_115	138	0	2	12	39026	40	8	0
vOTU_116	0	0	0	16972	0	0	0	0
vOTU_124	22428	0	0	0	0	0	2	4
vOTU_141	0	0	0	0	18028	0	0	0
vOTU_146	0	0	0	0	19294	0	0	0
vOTU_148	0	4	2	2	0	58664	8	0
vOTU_149	0	0	2	0	0	28424	8	2
vOTU_153	0	0	0	0	0	29404	0	0
vOTU_159	0	0	2	0	0	9332	27	0
vOTU_160	0	0	0	46	0	14262	2	0
vOTU_171	4	0	0	0	9418	2	14	174
vOTU_178	0	2	0	0	0	10174	0	0
vOTU_183	0	0	14826	0	0	0	0	0
vOTU_185	0	0	14654	0	0	0	0	0
vOTU_193	0	0	0	0	0	13632	0	0
vOTU_201	2	0	2	0	0	0	0	42064
vOTU_205	5782	0	0	0	0	0	0	6
vOTU_208	10148	0	0	0	0	0	22	0
