ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
IND-7	3002263	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	1.00	0.00	1.00	2.36	17.00	23.00	0	0	0	0	N/A	N/A		720	IND beta-lactamase	carbapenem	antibiotic inactivation
ANT(6)-Ib	3002629	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	3.00	0.00	3.00	9.79	84.00	68.00	0	0	0	0	N/A	N/A		858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
lsaB	3003111	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus sciuri	12.00	0.00	12.00	5.81	86.00	43.17	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
OXA-78	3001645	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.00	0.00	2.00	14.67	121.00	192.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	34.00	0.00	34.00	13.53	270.00	73.65	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	2.00	0.00	2.00	1.98	17.00	23.00	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
mefC	3003745	protein homolog model	CARD	1	100.0	no data	no data	Photobacterium damselae	6.00	0.00	6.00	5.88	72.00	53.00	0	0	0	0	N/A	N/A		1224	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
OXA-443	3003599	protein homolog model	CARD	1	100.0	no data	no data	Ralstonia mannitolilytica	3.00	0.00	3.00	3.26	27.00	26.67	0	0	0	0	N/A	N/A		828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-448	3003604	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter jejuni	2.00	0.00	2.00	2.28	17.00	23.00	0	0	0	0	N/A	N/A		747	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
ANT(3'')-IIb	3004090	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	1.00	0.00	1.00	2.15	17.00	23.00	0	0	0	0	N/A	N/A		792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CME-1	3004775	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia meningoseptica	6.00	0.00	6.00	8.90	79.00	51.50	0	0	0	0	N/A	N/A		888	CME beta-lactamase	penam	antibiotic inactivation
tet(48)	3004581	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	13.00	0.00	13.00	9.67	116.00	54.46	0	0	0	0	N/A	N/A		1200	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
MecC-type methicillin resistance repressor MecI	3005046	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	12.00	0.00	12.00	11.20	42.00	42.42	0	0	0	0	N/A	N/A		375	methicillin resistant PBP2	penam	antibiotic target replacement
OXA-649	3005340	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter bereziniae	444.00	0.00	444.00	5.07	42.00	29.22	0	0	0	0	N/A	N/A		828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
ADC-252	3006422	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter pittii	2.00	0.00	2.00	1.48	17.00	23.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
IMP-46	3002237	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas putida	5.00	0.00	5.00	8.26	60.00	54.40	0	0	0	0	N/A	N/A		726	IMP beta-lactamase	carbapenem; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
OXA-669	3005880	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	30.00	0.00	30.00	14.52	122.00	48.07	0	0	0	0	N/A	N/A		840	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
OXA-896	3006087	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	9.00	0.00	9.00	2.18	18.00	25.44	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
Rm3	3003894	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.00	0.00	1.00	1.98	18.00	34.00	0	0	0	0	N/A	N/A		909	Rm3 family beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD; Resistomes & Variants	29	84.09 - 100.0	YES	no data	Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Parascardovia denticolens; Bifidobacterium breve; Gardnerella vaginalis; Bifidobacterium dentium	3317.00	0.00	3317.00	21.68	776.48	116.54	0	0	0	0	N/A	N/A		3561; 3561; 3561; 3561; 3561; 3684; 3633; 3684; 3684; 3633; 3564; 3564; 3564; 3564; 3564; 3570; 3570; 3570; 3552; 3564; 3564; 3639; 3585; 3585; 3585; 3567; 3561; 3561; 3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
vanY gene in vanG cluster	3002959	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	8.00	0.00	8.00	12.50	105.00	74.75	0	0	0	0	N/A	N/A		840	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
BcII	3002878	protein homolog model	Resistomes & Variants	2	91.37 - 95.73	NO	NO	Bacillus cereus	18.00	0.00	18.00	7.50	42.00	62.70	0	0	0	0	N/A	N/A		504; 774	subclass B1 Bacillus cereus Bc beta-lactamase	cephalosporin; penam	antibiotic inactivation
BcIII	3007101	protein homolog model	Resistomes & Variants	2	75.0 - 76.58	YES	NO	Bacillus cereus; Bacillus thuringiensis	4.00	0.00	4.00	4.12	39.00	52.66	0	0	0	0	N/A	N/A		951; 936	class A Bacillus cereus Bc beta-lactamase	cephalosporin; penem	antibiotic inactivation
Streptomyces rimosus otr(A)	3002891	protein homolog model	Resistomes & Variants	1	46.25	NO	NO	Bacillus cereus	2.00	0.00	2.00	1.75	17.00	23.00	0	0	0	0	N/A	N/A		972	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(45)	3003196	protein homolog model	Resistomes & Variants	2	76.71 - 89.5	NO	NO	Bacillus cereus; Enterococcus faecium	14.00	0.00	14.00	3.13	42.50	34.50	0	0	0	0	N/A	N/A		1377; 1287	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
adeF	3000777	protein homolog model	Resistomes & Variants	86	40.44 - 96.22	YES	NO	Comamonas testosteroni; Aeromonas hydrophila; Phocaeicola massiliensis; Phocaeicola vulgatus; Chryseobacterium nakagawai; Enterobacter asburiae; Pseudomonas stutzeri; Bordetella bronchiseptica; Cupriavidus campinensis; Pseudomonas putida; Shewanella putrefaciens; Aeromonas caviae; Citrobacter koseri; Enterobacter roggenkampii; Cronobacter malonaticus; Bacteroides ovatus; Pseudomonas chlororaphis; Alistipes putredinis; Enterobacter hormaechei; Ralstonia pickettii; Bacteroides thetaiotaomicron; Parabacteroides distasonis; Achromobacter xylosoxidans; Achromobacter insolitus; Burkholderia multivorans; Serratia liquefaciens; Bordetella holmesii; Butyricimonas faecalis; Pseudomonas fluorescens; Helicobacter cinaedi; Bacteroides caccae; Pseudomonas mendocina; Bordetella petrii; Pseudomonas aeruginosa; Enterobacter kobei; Acinetobacter baumannii; Enterobacter cancerogenus; Vibrio fluvialis; Cupriavidus metallidurans; Bordetella pertussis; Helicobacter canadensis; Pseudomonas syringae; Serratia marcescens; Rhodopseudomonas palustris; Bacteroides fragilis; Laribacter hongkongensis; Citrobacter amalonaticus; Ralstonia mannitolilytica; Burkholderia lata	9291.00	0.00	9291.00	13.14	419.34	105.58	0	0	0	0	N/A	N/A		3195; 3150; 3150; 3150; 3099; 3099; 3099; 3102; 3102; 3102; 3186; 3114; 3171; 3135; 3138; 3180; 3165; 3153; 3180; 3135; 3150; 3147; 3114; 3117; 3105; 3105; 3105; 3105; 3105; 3105; 3147; 3099; 3114; 3207; 3105; 4485; 4485; 3165; 3165; 4485; 3183; 3183; 3249; 3114; 3138; 3171; 3099; 3162; 3165; 3150; 3183; 3132; 3096; 3132; 3105; 3105; 3144; 3210; 3207; 3186; 3144; 3114; 3180; 3114; 3129; 3129; 3147; 3246; 3252; 3126; 3147; 3147; 3135; 3147; 3135; 3156; 3180; 3147; 3147; 3180; 3159; 3159; 3198; 3114; 3207; 3159	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
OXA-608	3005829	protein homolog model	Resistomes & Variants	1	99.55	NO	NO	Campylobacter jejuni	292.00	0.00	292.00	15.20	109.00	50.66	0	0	0	0	N/A	N/A		717	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
baeR	3000828	protein homolog model	Resistomes & Variants	3	95.42 - 97.16	NO	NO	Enterobacter cloacae; Salmonella enterica	659.00	0.00	659.00	4.13	26.00	30.04	0	0	0	0	N/A	N/A		723; 723; 429	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
CepS	3003553	protein homolog model	Resistomes & Variants	1	95.55	YES	NO	Aeromonas hydrophila	5.00	0.00	5.00	5.97	76.00	49.40	0	0	0	0	N/A	N/A		1272	CepS beta-lactamase	cephalosporin	antibiotic inactivation
ErmF	3000498	protein homolog model	Resistomes & Variants	4	97.24 - 100.0	YES	NO	Phocaeicola massiliensis; Phocaeicola dorei; Bacteroides fragilis	7361.00	0.00	7361.00	18.80	107.75	69.46	0	0	0	0	N/A	N/A		420; 576; 861; 468	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
ramA	3000823	protein homolog model	Resistomes & Variants	1	97.35	NO	NO	Enterobacter asburiae	2.00	0.00	2.00	4.97	17.00	23.00	0	0	0	0	N/A	N/A		342	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
DHA-7	3002136	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Enterobacter asburiae	67.00	0.00	67.00	7.47	76.00	55.91	0	0	0	0	N/A	N/A		1017	DHA beta-lactamase	cephalosporin; cephamycin	antibiotic inactivation
cmlA5	3002695	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Pseudomonas stutzeri	307.00	0.00	307.00	9.45	53.00	54.34	0	0	0	0	N/A	N/A		561	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
mdtP	3003550	protein homolog model	Resistomes & Variants	1	97.95	NO	NO	Escherichia coli	1.00	0.00	1.00	1.16	17.00	23.00	0	0	0	0	N/A	N/A		1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
aadA5	3002605	protein homolog model	Resistomes & Variants	2	100.0	YES	NO	Escherichia coli	136.00	0.00	136.00	12.96	125.00	50.75	0	0	0	0	N/A	N/A		252; 1215	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
oqxA	3003922	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli; Klebsiella pneumoniae	1.00	0.00	1.00	6.81	19.00	34.00	0	0	0	0	N/A	N/A		279	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
evgS	3000833	protein homolog model	Resistomes & Variants	3	96.93 - 100.0	YES	NO	Escherichia coli	3.00	0.00	3.00	2.20	18.67	34.00	0	0	0	0	N/A	N/A		888; 492; 1902	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux
cpxA	3000830	protein homolog model	Resistomes & Variants	1	95.19	NO	NO	Escherichia coli	12.00	0.00	12.00	11.86	163.00	56.17	0	0	0	0	N/A	N/A		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
acrB	3000216	protein homolog model	Resistomes & Variants	3	94.38 - 100.0	NO	NO	Escherichia coli; Klebsiella pneumoniae; Citrobacter freundii	11051.00	0.00	11051.00	58.32	271.00	129.57	0	0	0	0	N/A	N/A		384; 261; 3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
ugd	3003577	protein homolog model	Resistomes & Variants	4	94.59 - 99.15	NO	NO	Escherichia coli; Escherichia marmotae	209.00	0.00	209.00	33.45	181.25	99.73	0	0	0	0	N/A	N/A		789; 237; 1167; 1167	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
CTX-M-178	3005601	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	2.00	0.00	2.00	7.54	19.00	34.00	0	0	0	0	N/A	N/A		252	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
kdpE	3003841	protein homolog model	Resistomes & Variants	4	90.62 - 99.54	NO	NO	Escherichia coli; Salmonella enterica; Citrobacter freundii	654.00	0.00	654.00	14.42	117.50	46.31	0	0	0	0	N/A	N/A		735; 729; 888; 678	kdpDE	aminoglycoside antibiotic	antibiotic efflux
YojI	3003952	protein homolog model	Resistomes & Variants	1	99.18	NO	NO	Escherichia coli	5.00	0.00	5.00	4.65	18.00	25.20	0	0	0	0	N/A	N/A		387	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
tet(B)	3000166	protein homolog model	Resistomes & Variants	1	99.23	NO	NO	Escherichia coli	4.00	0.00	4.00	1.43	17.00	23.00	0	0	0	0	N/A	N/A		1185	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
msbA	3003950	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	234.00	0.00	234.00	14.47	253.00	51.55	0	0	0	0	N/A	N/A		1749	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux
eptA	3003576	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Escherichia coli	1.00	0.00	1.00	1.09	18.00	34.00	0	0	0	0	N/A	N/A		1644	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
emrY	3000254	protein homolog model	Resistomes & Variants	1	99.58	YES	NO	Escherichia coli	9.00	0.00	9.00	3.09	45.00	46.89	0	0	0	0	N/A	N/A		1455	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
