,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.1721,0.95271864,0.164,1,1,1,1.0
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,7_0,Clustered,20,VC_7_0,20,0.6012,1.0,0.6012,7,1,1,0.8
2,Achromobacter~phage~JWF,Caudovirales,Siphoviridae,Unassigned,16_0,Clustered,3,VC_16_0,3,0.6446,0.98867275,0.6373,2,2,2,1.0
3,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.1721,0.95271864,0.164,1,1,1,1.0
4,Achromobacter~phage~phiAxp-1,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,13,VC_1_0,13,0.699,1.0,0.699,5,2,2,1.0
5,Achromobacter~phage~phiAxp-2,Caudovirales,Siphoviridae,Unassigned,19_0,Clustered,7,VC_19_0,7,0.1359,0.99968088,0.1358,3,2,2,1.0
6,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,7_0,Clustered,20,VC_7_0,20,0.6012,1.0,0.6012,7,1,1,0.8
7,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,22_0,Clustered,3,VC_22_0,3,1.0,1.0,1.0,1,1,1,1.0
8,Acidianus~bottle-shaped~virus~2,Unassigned,Ampullaviridae,Ampullavirus,22_0,Clustered,3,VC_22_0,3,1.0,1.0,1.0,1,1,1,1.0
9,Acidianus~bottle-shaped~virus~3,Unassigned,Ampullaviridae,Ampullavirus,22_0,Clustered,3,VC_22_0,3,1.0,1.0,1.0,1,1,1,1.0
10,Acidianus~filamentous~virus~2,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,25_0,Clustered,2,VC_25_0,2,0.3961,0.92660346,0.367,1,1,1,1.0
11,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,24_0,Clustered,6,VC_24_0,6,0.9321,0.99999831,0.9321,1,1,1,1.0
12,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,24_0,Clustered,6,VC_24_0,6,0.9321,0.99999831,0.9321,1,1,1,1.0
13,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,24_0,Clustered,6,VC_24_0,6,0.9321,0.99999831,0.9321,1,1,1,1.0
14,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,24_0,Clustered,6,VC_24_0,6,0.9321,0.99999831,0.9321,1,1,1,1.0
15,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,24_0,Clustered,6,VC_24_0,6,0.9321,0.99999831,0.9321,1,1,1,1.0
16,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,27_0,Clustered,9,VC_27_0,9,0.908,0.99999774,0.908,2,1,1,1.0
17,Acinetobacter~phage~AB1,Caudovirales,Myoviridae,Ap22virus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
18,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
19,Acinetobacter~phage~AM101,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
