ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
JOHN-1	3000840	protein homolog model	CARD	1	100.0	no data	no data	Flavobacterium johnsoniae	1.00	0.00	1.00	20.21	151.00	157.00	0	0	0	0	N/A	N/A		747	JOHN beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
SMB-1	3000854	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	6.00	0.00	6.00	16.01	135.00	60.33	0	0	0	0	N/A	N/A		843	SMB beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
smeE	3003056	protein homolog model	CARD; Resistomes & Variants	18	95.58 - 100.0	YES	no data	Stenotrophomonas maltophilia	643.00	0.00	643.00	18.93	591.11	130.03	0	0	0	0	N/A	N/A		3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
FosC	3000380	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas syringae	37.00	0.00	37.00	21.49	118.00	66.43	0	0	0	0	N/A	N/A		549	fosC phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation
THIN-B	3000851	protein homolog model	CARD	1	100.0	no data	no data	Janthinobacterium lividum	45.00	0.00	45.00	87.28	830.00	76.93	0	0	0	0	N/A	N/A		951	THIN-B beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
LRA-1	3002482	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	93.00	0.00	93.00	68.47	608.00	83.76	0	0	0	0	N/A	N/A		888	class A LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
SHV-148	3001187	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	22.00	0.00	22.00	8.74	75.00	69.00	0	0	0	0	N/A	N/A		858	SHV beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
LRA-13	3002484	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	50.00	0.00	50.00	60.49	1107.00	98.90	0	0	0	0	N/A	N/A		1830	class C LRA beta-lactamase; class D LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
tet(30)	3000561	protein homolog model	CARD	1	100.0	no data	no data	Agrobacterium fabrum	1.00	0.00	1.00	12.74	151.00	120.00	0	0	0	0	N/A	N/A		1185	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
LRA-10	3002489	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	205.00	0.00	205.00	88.30	996.00	113.05	0	0	0	0	N/A	N/A		1128	class C LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
LnuP	3004601	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	1.00	0.00	1.00	3.39	17.00	23.00	0	0	0	0	N/A	N/A		501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
abcA	3003942	protein homolog model	CARD	1	100.0	no data	no data	Aspergillus fumigatus	56.00	0.00	56.00	27.51	1199.00	59.45	0	0	0	0	N/A	N/A		4359	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin; penam; peptide antibiotic	antibiotic efflux
aadA27	3004682	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lwoffii	2.00	0.00	2.00	35.74	282.00	201.00	0	0	0	0	N/A	N/A		789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
FONA-4	3004791	protein homolog model	CARD	1	100.0	no data	no data	Serratia fonticola	9.00	0.00	9.00	20.50	182.00	150.22	0	0	0	0	N/A	N/A		888	FONA beta-lactamase	penam	antibiotic inactivation
